x,y,red,green,blue,hexvalue,h,s,v,luminance,hue_group,shade,name
7,3,0.5058823529411764,0.8313725490196079,0.9803921568627451,#81D4FA,198.84297520661156,0.484,0.9803921568627451,0.7501176470588234,light blue,200,light blue-200
7,4,0.30980392156862746,0.7647058823529411,0.9686274509803922,#4FC3F7,198.57142857142856,0.680161943319838,0.9686274509803922,0.6506666666666666,light blue,300,light blue-300
7,5,0.1607843137254902,0.7137254901960784,0.9647058823529412,#29B6F6,198.7317073170732,0.8333333333333334,0.9647058823529412,0.5754509803921568,light blue,400,light blue-400
7,6,0.011764705882352941,0.6627450980392157,0.9568627450980393,#03A9F4,198.67219917012446,0.9877049180327869,0.9568627450980393,0.4998039215686274,light blue,500,light blue-500
7,7,0.011764705882352941,0.6078431372549019,0.8980392156862745,#039BE5,199.64601769911502,0.9868995633187773,0.8980392156862745,0.4609411764705882,light blue,600,light blue-600
7,8,0.00784313725490196,0.5333333333333333,0.8196078431372549,#0288D1,201.15942028985506,0.9904306220095693,0.8196078431372549,0.4071764705882353,light blue,700,light blue-700
7,9,0.00784313725490196,0.4666666666666667,0.7411764705882353,#0277BD,202.45989304812835,0.9894179894179894,0.7411764705882353,0.35921568627450984,light blue,800,light blue-800
7,10,0.00392156862745098,0.3411764705882353,0.6078431372549019,#01579B,206.4935064935065,0.9935483870967742,0.6078431372549019,0.2693333333333333,light blue,900,light blue-900
8,1,0.8784313725490196,0.9686274509803922,0.9803921568627451,#E0F7FA,186.92307692307693,0.104,0.9803921568627451,0.942862745098039,cyan,50,cyan-50
8,2,0.6980392156862745,0.9215686274509803,0.9490196078431372,#B2EBF2,186.5625,0.2644628099173554,0.9490196078431372,0.8575294117647058,cyan,100,cyan-100
8,3,0.5019607843137255,0.8705882352941177,0.9176470588235294,#80DEEA,186.79245283018867,0.452991452991453,0.9176470588235294,0.7651764705882352,cyan,200,cyan-200
8,4,0.30196078431372547,0.8156862745098039,0.8823529411764706,#4DD0E1,186.8918918918919,0.6577777777777778,0.8823529411764706,0.6689019607843137,cyan,300,cyan-300
8,5,0.14901960784313725,0.7764705882352941,0.8549019607843137,#26C6DA,186.66666666666666,0.8256880733944955,0.8549019607843137,0.5968627450980392,cyan,400,cyan-400
8,6,0,0.7372549019607844,0.8313725490196079,#00BCD4,186.79245283018867,1,0.8313725490196079,0.5264313725490196,cyan,500,cyan-500
8,7,0,0.6745098039215687,0.7568627450980392,#00ACC1,186.52849740932643,1,0.7568627450980392,0.48121568627450984,cyan,600,cyan-600
8,8,0,0.592156862745098,0.6549019607843137,#0097A7,185.74850299401197,1,0.6549019607843137,0.4214117647058824,cyan,700,cyan-700
8,9,0,0.5137254901960784,0.5607843137254902,#00838F,185.03496503496504,1,0.5607843137254902,0.36478431372549014,cyan,800,cyan-800
8,10,0,0.3764705882352941,0.39215686274509803,#006064,182.4,1,0.39215686274509803,0.2652549019607843,cyan,900,cyan-900
9,1,0.8784313725490196,0.9490196078431372,0.9450980392156862,#E0F2F1,176.66666666666669,0.0743801652892562,0.9490196078431372,0.9274117647058823,teal,50,teal-50
9,2,0.6980392156862745,0.8745098039215686,0.8588235294117647,#B2DFDB,174.66666666666666,0.20179372197309417,0.8745098039215686,0.8198431372549019,teal,100,teal-100
9,3,0.5019607843137255,0.796078431372549,0.7686274509803922,#80CBC4,174.4,0.3694581280788177,0.796078431372549,0.7048235294117646,teal,200,teal-200
9,4,0.30196078431372547,0.7137254901960784,0.6745098039215687,#4DB6AC,174.28571428571428,0.5769230769230769,0.7137254901960784,0.5858823529411764,teal,300,teal-300
9,5,0.14901960784313725,0.6509803921568628,0.6039215686274509,#26A69A,174.375,0.7710843373493976,0.6509803921568628,0.49521568627450974,teal,400,teal-400
9,6,0,0.5882352941176471,0.5333333333333333,#009688,174.4,1,0.5882352941176471,0.4057254901960784,teal,500,teal-500
9,7,0,0.5372549019607843,0.4823529411764706,#00897B,173.86861313868613,1,0.5372549019607843,0.37003921568627446,teal,600,teal-600
9,8,0,0.4745098039215686,0.4196078431372549,#00796B,173.05785123966942,1,0.4745098039215686,0.3261176470588235,teal,700,teal-700
9,9,0,0.4117647058823529,0.3607843137254902,#00695C,172.57142857142858,1,0.4117647058823529,0.28262745098039216,teal,800,teal-800
9,10,0,0.30196078431372547,0.25098039215686274,#004D40,169.8701298701299,1,0.30196078431372547,0.2057647058823529,teal,900,teal-900
10,1,0.9098039215686274,0.9607843137254902,0.9137254901960784,#E8F5E9,124.61538461538463,0.053061224489795916,0.9607843137254902,0.9403137254901961,green,50,green-50
10,2,0.7843137254901961,0.9019607843137255,0.788235294117647,#C8E6C9,122,0.13043478260869565,0.9019607843137255,0.85415686274509794,green,100,green-100
10,3,0.6470588235294118,0.8392156862745098,0.6549019607843137,#A5D6A7,122.44897959183673,0.22897196261682243,0.8392156862745098,0.7612941176470588,green,200,green-200
10,4,0.5058823529411764,0.7803921568627451,0.5176470588235295,#81C784,122.57142857142856,0.35175879396984927,0.7803921568627451,0.6691372549019609,green,300,green-300
10,5,0.4,0.7333333333333333,0.41568627450980394,#66BB6A,122.8235294117647,0.45454545454545453,0.7333333333333333,0.598392156862745,green,400,green-400
10,6,0.2980392156862745,0.6862745098039216,0.3137254901960784,#4CAF50,122.42424242424241,0.5657142857142857,0.6862745098039216,0.5288235294117647,green,500,green-500
10,7,0.2627450980392157,0.6274509803921569,0.2784313725490196,#43A047,122.58064516129032,0.58125,0.6274509803921569,0.47964705882352937,green,600,green-600
10,8,0.2196078431372549,0.5568627450980392,0.23529411764705882,#388E3C,122.79069767441861,0.6056338028169014,0.5568627450980392,0.420313725490196,green,700,green-700
10,9,0.1803921568627451,0.49019607843137253,0.19607843137254902,#2E7D32,123.03797468354429,0.632,0.49019607843137253,0.3649019607843137,green,800,green-800
10,10,0.10588235294117647,0.3686274509803922,0.12549019607843137,#1B5E20,124.4776119402985,0.7127659574468085,0.3686274509803922,0.2630588235294118,green,900,green-900
11,1,0.9450980392156862,0.9725490196078431,0.9137254901960784,#F1F8E9,88,0.06048387096774194,0.9725490196078431,0.9578431372549019,light green,50,light green-50
11,2,0.8627450980392157,0.9294117647058824,0.7843137254901961,#DCEDC8,87.56756756756756,0.15611814345991562,0.9294117647058824,0.893450980392157,light green,100,light green-100
11,3,0.7725490196078432,0.8823529411764706,0.6470588235294118,#C5E1A5,88,0.26666666666666666,0.8823529411764706,0.8235294117647057,light green,200,light green-200
11,4,0.6823529411764706,0.8352941176470589,0.5058823529411764,#AED581,87.85714285714286,0.39436619718309857,0.8352941176470589,0.7531764705882353,light green,300,light green-300
11,5,0.611764705882353,0.8,0.396078431372549,#9CCC65,87.96116504854369,0.5049019607843137,0.8,0.6990980392156863,light green,400,light green-400
11,6,0.5450980392156862,0.7647058823529411,0.2901960784313726,#8BC34A,87.76859504132231,0.6205128205128205,0.7647058823529411,0.6466274509803921,light green,500,light green-500
11,7,0.48627450980392156,0.7019607843137254,0.25882352941176473,#7CB342,89.20353982300885,0.6312849162011173,0.7019607843137254,0.5885098039215686,light green,600,light green-600
11,8,0.40784313725490196,0.6235294117647059,0.2196078431372549,#689F38,92.03883495145631,0.6477987421383647,0.6235294117647059,0.514392156862745,light green,700,light green-700
11,9,0.3333333333333333,0.5450980392156862,0.1843137254901961,#558B2F,95.21739130434783,0.6618705035971223,0.5450980392156862,0.44188235294117645,light green,800,light green-800
11,10,0.2,0.4117647058823529,0.11764705882352941,#33691E,103.2,0.7142857142857143,0.4117647058823529,0.31588235294117645,light green,900,light green-900
12,1,0.9764705882352941,0.984313725490196,0.9058823529411765,#F9FBE7,66,0.0796812749003984,0.984313725490196,0.9733333333333332,lime,50,lime-50
12,2,0.9411764705882353,0.9568627450980393,0.7647058823529411,#F0F4C3,64.89795918367348,0.20081967213114754,0.9568627450980393,0.9310196078431372,lime,100,lime-100
12,3,0.9019607843137255,0.9333333333333333,0.611764705882353,#E6EE9C,65.85365853658537,0.3445378151260504,0.9333333333333333,0.888549019607843,lime,200,lime-200
12,4,0.8627450980392157,0.9058823529411765,0.4588235294117647,#DCE775,65.78947368421053,0.4935064935064935,0.9058823529411765,0.8437647058823531,lime,300,lime-300
12,5,0.8313725490196079,0.8823529411764706,0.3411764705882353,#D4E157,65.65217391304347,0.6133333333333333,0.8823529411764706,0.8075294117647058,lime,400,lime-400
